"gene","protein_class","molecular_action","key_substrates","subcellular","tissues","cell_types","pathways","ko_phenotype","ko_severity","neural_phenotype","cerebellar_evidence","cancer_types","cancer_role","neuro_disease","differentiation_role","one_line_summary"
"Grid2","ion channel","Ionotropic glutamate receptor delta-2 subunit (GluD2); does not bind glutamate as primary ligand; promotes synaptogenesis via NRX1B-CBLN1-GRID2 triad; mediates D-serine-dependent LTD and AMPAR endocytosis at PF-PC synapses; forms cation-selective channels gated by glycine/D-serine when assembled with neurexins and cerebellins; activated by GRM1 in Purkinje cells","D-serine, glycine (conditional); CBLN1, neurexin (trans-synaptic organizers)","postsynaptic membrane (Purkinje cell dendrites, parallel fiber synapses)","cerebellum (exclusively at parallel fiber-Purkinje cell synapses in adults)","cerebellar Purkinje cells (postsynaptic), parallel fiber terminals (presynaptic)","Parallel fiber-Purkinje cell synaptogenesis, cerebellar LTD, AMPAR endocytosis, synapse organization","ataxia, impaired coordination, abnormal Purkinje cell morphology, cerebellar atrophy, abnormal cerebellar synapse formation, small cerebellum","severe","Loss-of-function causes cerebellar ataxia; Purkinje cell spine abnormalities; Lurcher gain-of-function mutation causes constitutive channel opening leading to Purkinje cell death","GRID2 is exclusively expressed at parallel fiber-Purkinje cell synapses; mutations cause spinocerebellar ataxia type 18 (SCAR18); Lurcher mutation causes Purkinje cell degeneration; GRID2 is a primate-specific marker distinguishing Purkinje cell subtypes",NA,NA,"spinocerebellar ataxia type 18 (SCAR18; autosomal recessive GRID2 LOF mutations), autosomal dominant cerebellar ataxia (de novo monoallelic variants)",NA,"Cerebellar-specific orphan ionotropic glutamate receptor GluD2 that organizes parallel fiber-Purkinje cell synapses via the neurexin-cerebellin-GRID2 triad and mediates LTD and AMPAR endocytosis, with mutations causing spinocerebellar ataxia."
"Ano3","ion channel","Anoctamin-3; Ca2+-dependent phospholipid scramblase (scrambles phosphatidylcholine and galactosylceramide); does NOT exhibit Ca2+-activated Cl- channel activity; acts as K+ channel regulator; facilitates KCNT1/Slack channel activity at low Na+ concentrations; may inhibit pain signaling","KCNT1 (Slack); phospholipids (phosphatidylcholine, galactosylceramide)","plasma membrane","brain (widely expressed in neuronal populations), striatum","striatal neurons, neurons in dystonia-relevant circuits; craniocervical muscles","Phospholipid scrambling, K+ channel regulation, KCNT1 facilitation, pain signaling modulation","decreased circulating alanine transaminase","minimal","ANO3 mutations associated with autosomal dominant craniocervical dystonia (DYT24); expressed in dystonia-relevant brain regions; timing and anatomical expression studies link ANO3 to specific developmental stages for dystonia pathogenesis",NA,NA,NA,"autosomal dominant craniocervical dystonia (DYT24; ANO3 mutations), essential tremor (some ANO3 variants)",NA,"Anoctamin family phospholipid scramblase and KCNT1 channel facilitator whose mutations cause autosomal dominant craniocervical dystonia, linked to striatal and craniocervical neural circuit dysfunction."
"Kcnip3","scaffold/adaptor","KChIP3/DREAM/calsenilin: multifunctional Ca2+-binding protein; (1) transcriptional repressor binding DRE elements (PDYN, FOS) in Ca2+-free/Mg2+-bound state; (2) regulatory subunit of Kv4 channels (KCND2/Kv4.2, KCND3/Kv4.3) modulating gating, expression, and inactivation in Ca2+-dependent manner; (3) regulates PSEN2 processing and amyloid-beta formation; (4) involved in nociception","KCND2 (Kv4.2), KCND3 (Kv4.3), PSEN2, PDYN promoter DRE, FOS promoter DRE","cytoplasm, nucleus, plasma membrane","brain (hippocampus, spinal cord, DRG), heart","hippocampal neurons, DRG nociceptors, spinal cord neurons","A-type K+ current regulation, transcriptional repression of PDYN/FOS, pain signaling (nociception), Ca2+-sensing, PSEN2/APP processing","abnormal spatial learning, hyperactivity, hypoalgesia, enhanced LTP, enhanced contextual conditioning, increased anxiety","moderate","Hypoalgesia, enhanced LTP, enhanced contextual conditioning, hyperactivity; DREAM/KChIP3 represses pain-related genes; affects hippocampal learning",NA,"uveal melanoma, glioma/brain tumors (sialylation context)",NA,"Alzheimer's disease (DREAM modulates PSEN2 and amyloid-beta), pain disorders (DREAM represses PDYN to modulate nociception)",NA,"Multifunctional neuronal Ca2+ sensor that acts as transcriptional repressor of PDYN and FOS, regulatory subunit of Kv4 A-type K+ channels, and modulator of PSEN2/amyloid processing, with KO mice showing hypoalgesia and enhanced LTP."
"enzyme","catalyzes 2-phosphoglycerate to phosphoenolpyruvate (glycolysis); neurotrophic/neuroprotective signaling","2-phosphoglycerate, phosphoenolpyruvate","cytoplasm","brain, neurons","neurons, neuroendocrine cells","glycolysis/gluconeogenesis, neurotrophic signaling","prolonged QRS complex duration","mild",NA,NA,"colorectal cancer, medulloblastoma, prostate cancer, oral squamous cell carcinoma, breast cancer","oncogenic; ENO2 overexpression drives neuroendocrine differentiation and resistance to antiangiogenic therapy",NA,"marker of late neuronal differentiation; expression is a late event in neural differentiation","Neuron-specific enolase (NSE/gamma-enolase) is a glycolytic enzyme and neurotrophic factor that marks late neuronal differentiation and is upregulated in neuroendocrine tumors including medulloblastoma.",""
"other","type II transmembrane protein; inhibits APP processing by blocking secretase access; prevents amyloid-beta aggregation; promotes neurite outgrowth","APP (amyloid precursor protein), amyloid-beta peptides","plasma membrane, ER","brain, ubiquitous","neurons","amyloid precursor protein processing, neurodegeneration pathway","impaired contextual memory, impaired spatial working memory, impaired object recognition, reduced LTP, abnormal brain morphology","moderate","impaired memory, reduced LTP","cerebellar ataxia in ITM2B mutation carriers","bladder cancer (RB1 pathway context)","mentioned in bladder cancer chromatin studies","familial British dementia (FBD), familial Danish dementia (FDD), cerebellar ataxia, retinal dystrophy",NA,"Integral membrane protein ITM2B (BRI2) modulates APP processing to reduce amyloid-beta secretion and prevent fibril formation; gain-of-function mutations cause familial British and Danish dementia with cerebellar ataxia.",""
"kinase","phosphorylates diacylglycerol (DAG) to phosphatidic acid (PA); regulates DAG/PA balance as second messengers; controls PKCgamma activity in cerebellum","diacylglycerol","cytoplasm, plasma membrane","cerebellum (predominantly)","Purkinje cells, cerebellar neurons","DAG/PA signaling, PKC signaling, cerebellar LTD, synaptic plasticity","impaired coordination, absent cerebellar LTD, abnormal Purkinje cell dendrite morphology, increased EPSC amplitude","severe","impaired coordination, absent LTD, abnormal Purkinje cell dendrites","exclusively expressed in cerebellum; Purkinje cell dendritic development; cerebellar LTD; motor coordination","hepatocellular carcinoma, prostate adenocarcinoma, oral squamous cell carcinoma (screens)","mentioned in screens; no direct functional study",NA,"regulates Purkinje cell dendritic morphology and cerebellar circuit function","Diacylglycerol kinase gamma (DGKgamma) is expressed exclusively in the cerebellum where it converts DAG to phosphatidic acid, controls PKCgamma signaling, and is required for Purkinje cell dendritic development and cerebellar long-term depression.",""
"transporter","choline/H+ antiporter; high-affinity ethanolamine/H+ antiporter; supplies choline for phosphatidylcholine synthesis; critical for myelin membrane production","choline, ethanolamine","plasma membrane, mitochondrial membrane (inner)","brain, oligodendrocytes, heart, retina","oligodendrocytes, neurons, cardiomyocytes","Kennedy pathway (CDP-choline), myelin synthesis, choline/ethanolamine transport","hyperactivity, decreased prepulse inhibition, abnormal retina, irregular pupils, increased heart rate, abnormal bone","moderate","hyperactivity, decreased prepulse inhibition","cerebellar atrophy and leukoencephalopathy in SLC44A1-deficient children","glioneuronal tumors (SLC44A1-PRKCA fusion); head and neck carcinoma","SLC44A1-PRKCA fusion defines papillary glioneuronal tumor; prognostic in HNC","childhood-onset neurodegeneration with cerebellar atrophy and leukoencephalopathy (SLC44A1 deficiency)","SLC44A1 required for oligodendrocyte differentiation and myelin membrane synthesis","Choline transporter SLC44A1 supplies choline for phosphatidylcholine and myelin synthesis; its deficiency causes childhood-onset cerebellar neurodegeneration with leukoencephalopathy, and SLC44A1-PRKCA gene fusions define papillary glioneuronal tumors.",""
"Smg1","kinase","Phosphorylates UPF1 to activate nonsense-mediated mRNA decay (NMD); phosphorylates p53 in response to genotoxic stress","UPF1/RENT1, p53/TP53, Ser/Thr-Q motifs","nucleus, cytoplasm","ubiquitous; high in testis, thymus","epithelial cells, lymphocytes","NMD pathway, DNA damage response, p53 signaling","embryonic lethality, increased tumor incidence, chronic inflammation, kidney and liver abnormalities","lethal (embryonic)",NA,NA,"HNC, HCC, lymphoma","tumor suppressor; silenced by methylation in head and neck cancer",NA,"regulates p53 isoform splicing and NMD during differentiation stress responses","PIKK-family kinase central to NMD via UPF1 phosphorylation and to genotoxic stress response via p53 phosphorylation"
"Lipc","enzyme","Hydrolyzes triglycerides and phospholipids in circulating lipoproteins; exhibits lysophospholipase activity","triglycerides, phosphatidylcholines, chylomicrons, IDL, LDL, HDL","extracellular (hepatocyte surface, heparan sulfate proteoglycans)","liver (primary); also adrenal, ovary","hepatocytes","lipoprotein metabolism, reverse cholesterol transport","increased HDL-C, abnormal phospholipids, decreased ovulation, increased triglycerides","moderate (metabolic/reproductive)",NA,NA,"HCC","expression altered in HCC; LIPC variants associated with ocular neovascular disease",NA,NA,"Hepatic lipase that remodels HDL and IDL particles and is critical for reverse cholesterol transport and female reproductive function"
"Nt5e","enzyme","Hydrolyzes extracellular AMP to adenosine; ectoenzyme generating immunosuppressive adenosine in tumor microenvironment","AMP, UMP, GMP, CMP, NAD, NMN","plasma membrane (GPI-anchored, extracellular face)","liver, spleen, lymph nodes, brain, kidney, vascular endothelium","lymphocytes, endothelial cells, macrophages, cancer cells","purinergic signaling, immune checkpoint, adenosine pathway","arterial calcification, thrombosis, calcinosis, increased infarct size, abnormal platelet function","moderate-severe",NA,"expressed in medulloblastoma; CD73 and CD39 synergize in MB immunosuppression","medulloblastoma, neuroblastoma, lung adenocarcinoma, pan-cancer","promotes immunosuppression; correlates with poor prognosis; cancer stem cell regulation","ACDC (arterial calcification due to CD73 deficiency)",NA,"Ecto-5'-nucleotidase (CD73) that generates extracellular adenosine from AMP to suppress anti-tumor immunity and regulate vascular calcification"
"Sgpp2","enzyme","Dephosphorylates sphingosine-1-phosphate (S1P) and dihydrosphingosine-1-phosphate; recycles sphingoid bases into sphingolipid synthesis","sphingosine-1-phosphate, dihydrosphingosine-1-phosphate","ER membrane (intracellular)","pancreas, broadly expressed","pancreatic beta cells","sphingolipid metabolism, S1P signaling, ER stress, mTORC1","decreased insulin secretion, decreased beta-cell mass and proliferation, increased ER stress, abnormal ceramide levels","moderate","abnormal sphingoid base levels in brain structures in ALS model mice","altered S1P metabolism in cerebellum of FUS transgenic mice (ALS model)","gastric cancer","altered in metabolic reprogramming contexts",NA,"regulates ER homeostasis in differentiating cells by controlling S1P levels","Sphingosine-1-phosphate phosphatase that attenuates intracellular S1P signaling and controls ER stress in pancreatic beta cells"
"Mgll","enzyme","Hydrolyzes monoacylglycerols (especially 2-arachidonoylglycerol/2-AG) to free fatty acids and glycerol; terminates endocannabinoid signaling","2-arachidonoylglycerol (2-AG), monoacylglycerols","cytoplasm, membranes","brain (high), liver, adipose, testis","neurons, macrophages, adipocytes","endocannabinoid signaling, lipid metabolism, nociception","decreased thermal nociception, hypoalgesia, hyperactivity, altered glucose homeostasis, decreased triglycerides","moderate","abnormal behavioral responses; altered pain perception","highly expressed in cerebellum and brain; 2-AG regulates cerebellar LTD","various (promotes tumor migration and invasion via fatty acid signaling)","pro-tumorigenic; promotes cell migration and invasion",NA,NA,"Monoglyceride lipase that degrades the endocannabinoid 2-AG and terminates retrograde endocannabinoid signaling at synapses"
"Ppip5k1","kinase","Bifunctional kinase phosphorylating InsP6 and PP-InsP5 to generate higher-order inositol pyrophosphates (InsP7/InsP8)","inositol hexakisphosphate (InsP6), PP-InsP5 (5-InsP7)","cytoplasm, nucleus","ubiquitous","HEK293, colon cancer cells, broadly expressed","inositol pyrophosphate signaling, phosphate homeostasis, vesicle trafficking, exocytosis, insulin signaling","NA (mouse KO not described)","unknown",NA,NA,"colon cancer (HCT116 model); associated with serum AFP levels","regulates XPR1-mediated phosphate efflux; loss elevates 5-InsP7",NA,"splice changes during iPSC reprogramming","Diphosphoinositol pentakisphosphate kinase that synthesizes high-energy inositol pyrophosphates (InsP8) regulating phosphate homeostasis and vesicle trafficking"
"Inpp5j","phosphatase","Dephosphorylates PI(4,5)P2 to PI(4)P; converts IP3 to IP2; converts IP4 to IP3; modulates PI signaling at membrane ruffles","PI(4,5)P2, IP(1,4,5)P3, PI(3,4,5)P3, IP(1,3,4,5)P4","cytoplasm, plasma membrane ruffles","brain, broadly expressed","neurons, oligodendrocyte precursors, epithelial cells","PI3K/AKT pathway, phosphoinositide signaling, mTOR","anophthalmia, thick skin; largely normal","mild","altered expression in epilepsy demyelination model; PGC-1alpha target",NA,"pancreatic cancer, ovarian cancer, lung adenocarcinoma","tumor suppressor; loss promotes PI3K/AKT activation",NA,NA,"Inositol polyphosphate 5-phosphatase that acts as a tumor suppressor by limiting PI(3,4,5)P3 accumulation and AKT signaling"
"Lcat","enzyme","Esterifies free cholesterol on HDL and LDL using phosphatidylcholine as acyl donor; central to reverse cholesterol transport","cholesterol, phosphatidylcholine (lecithin), HDL, LDL","extracellular plasma (secreted); also CSF","liver (primary synthesis); also brain (astrocytes)","hepatocytes, astrocytes","reverse cholesterol transport, lipoprotein metabolism, cholesterol homeostasis","decreased HDL-C, hemolytic anemia, glomerulosclerosis, proteinuria, abnormal lipids","moderate-severe",NA,"expressed in brain astrocytes; essential for CSF lipoprotein maturation with APOE","HCC, colorectal cancer (liver metastasis marker)","downregulated in HCC; decreased expression associates with tumor progression",NA,"required for maturation of glial APOE-containing lipoproteins; relevant to neurodegeneration","Secreted enzyme that esterifies cholesterol on plasma lipoproteins and brain APOE particles, essential for reverse cholesterol transport and HDL maturation"
"Thrsp","other","Regulates lipogenesis as transcriptional coactivator; interacts with MID1IP1 to modulate ACACA activity; mediates thyroid hormone effects on fatty acid synthesis","ACACA (indirect), THRB (coactivator)","nucleus (coactivator), cytoplasm","mammary gland (high during lactation), liver, adipose","mammary epithelial cells, hepatocytes, adipocytes","lipogenesis, thyroid hormone signaling, fatty acid synthesis","abnormal lactation, decreased triglycerides, abnormal milk composition","mild-moderate",NA,NA,"HCC","expression correlates with HCC prognosis; regulated by lipid metabolism reprogramming",NA,"upregulated during adipocyte and muscle cell differentiation","Thyroid hormone-responsive transcriptional coactivator that promotes lipogenesis by blocking ACACA inhibition, important in lactating mammary gland"
"Dagla","enzyme","Synthesizes 2-arachidonoylglycerol (2-AG) by hydrolyzing sn-1 fatty acids from diacylglycerols; principal source of 2-AG in CNS","diacylglycerols (DAG) containing AA at sn-2 position","plasma membrane, postsynaptic densities","brain (high; cortex, cerebellum, hippocampus), spinal cord","neurons (postsynaptic), neural stem/progenitor cells","endocannabinoid signaling, retrograde synaptic transmission, neuroinflammation, neurogenesis","decreased neuronal precursor number, absent cerebellar LTD, abnormal CNS transmission, decreased brain size, abnormal inhibitory/excitatory currents, hyperstartle","severe","decreased neurogenesis, abnormal CNS morphology, absent LTD","critical for cerebellar LTD; DAGLA antibodies cause autoimmune cerebellitis/cerebellar ataxia","paraneoplastic cerebellar degeneration (melanoma, others)","autoimmune target; paraneoplastic","autoimmune encephalitis, cerebellar ataxia (anti-DAGLA antibody syndrome)","supports axonal growth during development; regulates adult neurogenesis via 2-AG","Diacylglycerol lipase that produces the endocannabinoid 2-AG, essential for retrograde synaptic signaling and cerebellar LTD; DAGLA autoantibodies cause autoimmune cerebellitis"
"Dgkb","kinase","Phosphorylates diacylglycerol (DAG) to phosphatidic acid (PA); modulates DAG/PA balance at synapses; regulates neurite branching and spine formation","diacylglycerol (DAG), particularly long-chain species","cytoplasm, plasma membrane","brain (specific high expression)","neurons","DAG/PKC signaling, phosphatidic acid signaling, synaptic plasticity","reduced LTP, spatial memory deficits, abnormal hippocampal neuron morphology, abnormal synapse morphology, hyperactivity","moderate","cognitive deficits, synaptic dysfunction","associated with spinocerebellar ataxia 21 locus (chr7p)","neuroblastoma (spontaneous regression marker)","associated with favorable neuroblastoma prognosis; type 2 diabetes susceptibility locus","spinocerebellar ataxia 21 (SCA21), cognitive aging","regulates neurite branching and spine morphology during neuronal differentiation","Brain-enriched diacylglycerol kinase that converts DAG to phosphatidic acid to regulate synaptic DAG/PA balance, spine morphogenesis, and synaptic plasticity"
"Abcc12","transporter","Probable ATP-dependent transporter; substrate unknown; member of MRP/ABCC subfamily; may transport organic anions or bile-related compounds","unknown substrate","plasma membrane (likely)","liver, bile ducts; low expression elsewhere","hepatocytes, cholangiocytes","bile acid transport (inferred), multidrug resistance (ABCC family)","liver fibrosis, abnormal bile duct physiology, increased bilirubin, liver morphology defects, increased cholangiocyte apoptosis","moderate (hepatic)",NA,NA,"HCC, lung adenocarcinoma, melanoma","orphan transporter; altered expression in various cancers; drug resistance context",NA,NA,"Orphan ABCC-family transporter with unknown substrate whose loss causes hepatic/biliary pathology resembling cholestatic liver disease"
"Scd1","enzyme","Introduces cis-delta-9 double bond into palmitoyl-CoA and stearoyl-CoA; rate-limiting step in MUFA synthesis; regulates lipogenic gene expression","palmitoyl-CoA (16:0), stearoyl-CoA (18:0)","ER membrane","liver, sebaceous glands, adipose, skin, brain","hepatocytes, adipocytes, keratinocytes, T cells, Purkinje cells (via cerebellar gene expression)","lipid biosynthesis, fatty acid desaturation, energy homeostasis, ferroptosis resistance","lipodystrophy, sebaceous gland atrophy, hair loss, improved glucose tolerance, increased ketones, progressive alopecia","moderate-severe",NA,"Eftud2 loss in Purkinje cells affects Scd1-related lipid metabolism","various (breast, liver, lung, colon)","pro-survival; inhibition sensitizes to ferroptosis; promotes cancer lipid membrane synthesis","multiple sclerosis (T cell metabolism)","regulates T cell differentiation (Treg/Th17 balance via oleic acid); cardiac reprogramming","Stearoyl-CoA desaturase-1 that catalyzes the rate-limiting step of MUFA synthesis, regulating lipid membrane composition, energy balance, and T cell differentiation"
"Ephx1","enzyme","Hydrolyzes arene and aliphatic epoxides to trans-dihydrodiols; metabolizes endocannabinoid 2-AG; biotransforms carcinogenic epoxides; binds 20(S)-hydroxycholesterol","arene epoxides, aliphatic epoxides, 2-AG, fatty acid epoxides","ER membrane (microsomal)","liver (high), lung, kidney, testis","hepatocytes, epithelial cells, macrophages","xenobiotic metabolism, Nrf2/detoxification pathway, endocannabinoid catabolism, steroid metabolism","decreased chemically-induced tumor incidence","mild",NA,NA,"anaplastic thyroid carcinoma, lung adenocarcinoma","reduced tumor susceptibility in KO; altered drug metabolism affects cancer treatment; EPHX1 variants in lipoatrophic diabetes","atrial fibrillation (ion channel/mitophagy context); de novo variants cause lipoatrophic diabetes",NA,"Microsomal epoxide hydrolase that detoxifies carcinogenic arene epoxides and catabolizes the endocannabinoid 2-AG, with Nrf2-regulated cytoprotective function"
"Pitpnm3","other","Transfers phosphatidylinositol and phosphatidylcholine between membranes; calcium binding; functions as receptor for chemokine CCL18; mediates EMT and metastasis signals","phosphatidylinositol, phosphatidylcholine, CCL18 (receptor)","plasma membrane, membranes","retina (photoreceptors), liver, breast, brain","photoreceptors, epithelial cells, hepatocytes, microglia","PI transfer/lipid signaling, CCL18/CCR8 signaling, EMT signaling, cell migration","abnormal bone structure, increased bone mineral content","mild",NA,NA,"HCC, breast cancer, prostate cancer","CCL18 receptor mediating EMT, invasion, and metastasis; high expression correlates with poor prognosis","CORD5 (autosomal dominant cone dystrophy)",NA,"Phosphatidylinositol transfer protein that also serves as a CCL18 receptor, mediating metastatic signaling in cancer and causing cone dystrophy when mutated"
"Acacb","enzyme","Carboxylates acetyl-CoA to malonyl-CoA at mitochondria; inhibits CPT1 via malonyl-CoA to block fatty acid beta-oxidation; regulates lipid storage","acetyl-CoA, bicarbonate (produces malonyl-CoA)","mitochondrial outer membrane","heart, skeletal muscle, liver, adipose","cardiomyocytes, skeletal muscle cells, hepatocytes","fatty acid oxidation, lipid metabolism, energy homeostasis, AMPK signaling","polyphagia, decreased body weight and fat, increased ketones, decreased glucose, altered energy expenditure","moderate",NA,NA,"various (nasopharyngeal, prostate, osteoporosis-related transcriptomics)","altered in cancer metabolic reprogramming; AMPK/ACACB axis is therapeutic target",NA,NA,"Mitochondrial acetyl-CoA carboxylase that produces malonyl-CoA to suppress fatty acid oxidation via CPT1 inhibition, regulating the switch between lipid synthesis and oxidation"
"Hsd3b7","enzyme","Converts 3beta-hydroxy to 3-keto on 7alpha-hydroxylated sterols; essential step in bile acid synthesis; degrades 7alpha-25-dihydroxycholesterol (EBI2 ligand)","7alpha-hydroxycholesterol, 7alpha,25-dihydroxycholesterol","ER membrane","liver (high), lymphoid tissues, adrenal, gonads","hepatocytes, lymphoid stromal cells, follicular dendritic cells","bile acid synthesis, oxysterol metabolism, EBI2/GPR183 ligand regulation, B cell positioning","postnatal lethality, scaly skin, bile salt abnormalities, cholesterol dysfunction, decreased intestinal cholesterol absorption","lethal (postnatal)",NA,NA,"keloid (biomarker context)",NA,"HSD3B7 deficiency causes neonatal cholestasis and progressive liver failure","regulates EBI2 ligand gradient in lymphoid tissues controlling B cell positioning","Hydroxysteroid dehydrogenase required for bile acid synthesis and degradation of the EBI2 receptor ligand 7alpha,25-OHC; deficiency causes neonatal cholestatic liver disease"
"Proca1","scaffold/adaptor","Interacts with cyclin A1/CDK2 complex; scaffolding role in cell cycle regulation during spermatogenesis; acrosome formation","cyclin A1, CDK2","nucleus","testis (high expression)","spermatocytes, spermatids","cell cycle regulation, CDK2/cyclin A1 complex, acrosome biogenesis","NA (mouse KO not described)","unknown",NA,NA,"leukemia (cyclin A1 context; indirect)",NA,"male infertility (non-obstructive azoospermia, spermatogenesis failure)","regulates cyclin A1/CDK2 during meiosis/spermatid differentiation","Cyclin A1-interacting protein that scaffolds the CDK2 complex during spermatogenesis; mutations cause male infertility via acrosome formation defects"
"Fads6","enzyme","Delta-6 fatty acid desaturase introducing double bonds into polyunsaturated fatty acids; converts linoleic acid and alpha-linolenic acid; bifunctional (omega-6 and omega-3 pathways)","linoleic acid (18:2 n-6), alpha-linolenic acid (18:3 n-3)","ER membrane","liver, testis, brain, adipose; broadly expressed","hepatocytes, adipocytes, spermatocytes","PUFA biosynthesis (omega-6/omega-3 pathways), eicosanoid precursor synthesis","abnormal retina, vitreous, skin morphology; increased calcium; renal abnormalities; abnormal cecum","moderate-severe",NA,NA,"gastric cancer, lymphoma","PUFA ratio alterations affect inflammatory and pro-tumorigenic signaling",NA,"regulates omega-6/omega-3 PUFA ratio during adipose and neural development","Bifunctional delta-6 fatty acid desaturase that controls the omega-6/omega-3 PUFA balance, affecting membrane composition, eicosanoid signaling, and retinal integrity"
"Nat8l","enzyme","Synthesizes N-acetylaspartate (NAA) from L-aspartate and acetyl-CoA; provides acetate for myelin lipid synthesis in brain; regulates dopamine uptake via TNF","L-aspartate, acetyl-CoA","cytoplasm, mitochondria-associated","brain (high; neurons, oligodendrocytes), brown adipose","neurons, oligodendrocytes, brown adipocytes","NAA synthesis, myelin lipid metabolism, dopamine homeostasis, fatty acid synthesis (acetate source)","behavioral abnormalities (social, locomotor), premature death, abnormal brain morphology, impaired object recognition","severe","abnormal brain morphology, cognitive/behavioral deficits, premature death","high cerebellar expression; NAA metabolism critical for myelin maintenance in cerebellum","HER2+ breast cancer brain metastasis, ovarian cancer","promotes immune evasion by CNS-like immunosuppression programs in brain metastases","Canavan disease (ASPA deficiency leading to NAA accumulation), SCA2 (altered NAA metabolism)","regulates acetate/acetyl-CoA supply for myelin lipid synthesis during oligodendrocyte differentiation","N-acetyltransferase that synthesizes N-acetylaspartate (NAA), the dominant brain acetyl donor for oligodendrocyte myelination; brain expression essential for normal development"
"Agmo","enzyme","Cleaves 1-O-alkyl ether bond of ether lipids (plasmanyl lipids); tetrahydrobiopterin-dependent; degrades alkylglycerolipids in liver and adipose","alkylglycerolipids (1-O-alkyl ether lipids), plasmanyl lipids","ER membrane, membranes","liver (high), white adipose, broadly expressed","hepatocytes, adipocytes","ether lipid catabolism, plasmalogen metabolism, ether lipid homeostasis","decreased circulating cholesterol, abnormal ether lipid levels, abnormal enzyme activity","mild",NA,NA,NA,"ether lipid alterations in obesity/metabolic disease",NA,NA,"Alkylglycerol monooxygenase that catabolizes plasmanyl ether lipids using tetrahydrobiopterin; the sole enzyme capable of cleaving the 1-O-alkyl bond in ether lipids"
"Sgms2","enzyme","Synthesizes sphingomyelin from ceramide and phosphatidylcholine at the plasma membrane; reversibly interconverts ceramide/DAG and sphingomyelin/PC; regulates ceramide-DAG-sphingomyelin balance","ceramide, phosphatidylcholine; also phosphatidylethanolamine","plasma membrane (Golgi and PM)","liver, bone (osteoblasts/osteoclasts), macrophages, broadly expressed","hepatocytes, macrophages, osteoblasts, osteoclasts","sphingolipid metabolism, ceramide signaling, DAG/PKC signaling, apoptosis","abnormal lipid levels, abnormal macrophage function, hemolysis, improved glucose tolerance, increased insulin sensitivity, decreased obesity susceptibility","moderate",NA,NA,"HCC, kidney clear cell carcinoma","promotes immunosuppressive TME in HCC; sphingolipid metabolism regulates tumor immunity","SGMS2 heterozygous variants cause monogenic osteoporosis with cranial sclerosis","regulates ceramide/sphingomyelin ratio during osteoblast-osteoclast coupling","Plasma membrane sphingomyelin synthase that balances the ceramide/sphingomyelin/DAG triangle at the cell surface; heterozygous loss-of-function causes monogenic osteoporosis"
"Nt5c1a","enzyme","Hydrolyzes ribonucleotide and deoxyribonucleotide monophosphates (especially AMP, dCMP, IMP) to nucleosides and inorganic phosphate; cytosolic","AMP, dCMP, IMP","cytoplasm","muscle, broadly expressed","myocytes, lymphocytes, cancer cells","nucleotide metabolism, purine salvage, nucleoside analog drug metabolism","abnormal nucleotide metabolism","mild",NA,NA,"leukemia, pancreatic ductal adenocarcinoma","modulates nucleoside analog drug sensitivity; germline variants affect drug response","inclusion body myositis (IBM; autoantigen), primary Sjogren's syndrome, SLE",NA,"Cytosolic 5'-nucleotidase that regulates intracellular nucleotide pools; autoantibody target in inclusion body myositis and a determinant of nucleoside analog chemotherapy efficacy"
"Cyp2d22","enzyme","Metabolizes drugs, neurotoxins, and endogenous compounds; mouse ortholog of human CYP2D6; metabolizes antidepressants, antipsychotics, opioids, dopamine precursors; protects against Parkinsonism","multiple drugs and xenobiotics (same substrate class as CYP2D6: debrisoquine, codeine, MPTP-like compounds)","ER membrane (microsomal)","liver (primary), brain","hepatocytes, neurons","cytochrome P450 drug metabolism, xenobiotic detoxification, Nrf2 pathway","abnormal skin morphology, decreased locomotor activity, enlarged lymph nodes","mild","decreased locomotor activity","neuroprotective; CYP2D6/Cyp2d22 protect against MPTP-like Parkinsonism",NA,"drug metabolism relevant to treatment response in various cancers","Parkinson's disease (CYP2D6 polymorphism associated with PD risk)",NA,"Mouse ortholog of CYP2D6 that metabolizes ~25% of prescribed drugs including antidepressants; protects against dopaminergic neurotoxicity in Parkinsonism models"
"Mppe1","phosphatase","Removes ethanolamine-phosphate from the second mannose of GPI-anchor precursors; required for GPI-anchor maturation and efficient ER-to-Golgi transport of GPI-anchored proteins","GPI-anchor intermediate (2nd mannose ethanolamine-phosphate)","ER membrane","broadly expressed","ER-containing cells broadly","GPI-anchor biosynthesis, protein glycosylation/processing, ER-to-Golgi transport","NA (mouse KO not described)","unknown",NA,NA,"HCC (somatic mutations)","altered in HCC recurrence; de novo variants cause neurodevelopmental disorder","neurodevelopmental disorder with severe developmental delay (de novo variants)","required for surface expression of GPI-anchored proteins during differentiation","Metallophosphoesterase required for GPI-anchor maturation in the ER; de novo variants cause severe neurodevelopmental disorders; maps to bipolar disorder susceptibility locus"
